source,target,score_1,score_2,editor_1,editor_2,aligner,agreement,final_score
мне,мнеписьма,0,0,E12,E13,a,1,0
жених,он,0,0,E12,E13,a,1,0
точно,хорошо,0,0,E12,E13,a,1,0
суди,даст,0,0,E12,E13,a,1,0
процедил,сказал,0,0,E12,E13,a,1,0
льстите,уж,0,0,E12,E13,a,1,0
подличал,был,0,0,E12,E13,a,1,0
подымающим,милых,0,0,E12,E13,a,1,0
Агафья,Узнаёт,0,0,E12,E13,a,1,0
глухой,тихо,0,0,E12,E13,a,1,0
каких,Ну,0,0,E12,E13,a,1,0
делся,сейчас,0,0,E12,E13,a,1,0
взобраться,ушибся,0,0,E12,E13,a,1,0
ненатурально,не,0,0,E12,E13,a,1,0
бодрый,спокойный,0,0,E12,E13,a,1,0
походном,вой,0,0,E12,E13,a,1,0
желаю,аю,0,0,E12,E13,a,1,0
весь,почти,0,0,E12,E13,a,1,0
чувствуете,чу̀вствую,0,0,E12,E13,a,1,0
поступают,она,0,0,E12,E13,a,1,0
поцелует,поцеловал,0,0,E12,E13,a,1,0
виноваты,страдали,0,0,E12,E13,a,1,0
законные,жёны,0,0,E12,E13,a,1,0
постель,кро,0,0,E12,E13,a,1,0
должный,просто,0,0,E12,E13,a,1,0
его,Щербацких,0,0,E12,E13,a,1,0
страстью,Кити,0,0,E12,E13,a,1,0
человека,делам,0,0,E12,E13,a,1,0
Думал,мал,0,0,E12,E13,a,1,0
остается,знает,0,0,E12,E13,a,1,0
проживали,боже,0,0,E12,E13,a,1,0
то,ваш,0,0,E12,E13,a,1,0
Четверги,четвергам,0,0,E12,E13,a,1,0
Прилетал,документы,0,0,E12,E13,a,1,0
красивая,каккрепчал,0,0,E12,E13,a,1,0
ревности,неверности,0,0,E12,E13,a,1,0
первый,вдруг,0,0,E12,E13,a,1,0
Здорово,Вот,0,0,E12,E13,a,1,0
лунный,свете,0,0,E12,E13,a,1,0
Пушкин,Пушкина,0,0,E12,E13,a,1,0
Теперь,Ну,0,0,E12,E13,a,1,0
ни,Ну,0,0,E12,E13,a,1,0
Жалованье,Хорошо,0,0,E12,E13,a,1,0
Марьи,Анны,0,0,E12,E13,a,1,0
Пети,Варя,0,0,E12,E13,a,1,0
сделанный,ланный,0,0,E12,E13,a,1,0
сигаркой,курил,0,0,E12,E13,a,1,0
Как,Какхороша,0,0,E12,E13,a,1,0
ваши,него,0,0,E12,E13,a,1,0
корреспондентов,Перепёлкину,0,0,E12,E13,a,1,0
не,нести,0,0,E12,E13,a,1,0
одна,никакая,0,0,E12,E13,a,1,0
Муромскому,скому,0,0,E12,E13,a,1,0
явно,неправдой,0,0,E12,E13,a,1,0
взор,удар,0,0,E12,E13,a,1,0
краснолицего,толстого,0,0,E12,E13,a,1,0
также,так,0,0,E12,E13,a,1,0
барьер,ипподрому,0,0,E12,E13,a,1,0
не,тожене,0,0,E12,E13,a,1,0
позапрошлую,же,0,0,E12,E13,a,1,0
изгнание,управлять,0,0,E12,E13,a,1,0
Совершенно,шенно,0,0,E12,E13,a,1,0
заезжала,привезли,0,0,E12,E13,a,1,0
ужасные,долг,0,0,E12,E13,a,1,0
заведовать,повесить,0,0,E12,E13,a,1,0
был,написал,0,0,E12,E13,a,1,0
ответил,пошёл,0,0,E12,E13,a,1,0
святыней,рыня,0,0,E12,E13,a,1,0
девичьей,бельё,0,0,E12,E13,a,1,0
Прошло,бывали,0,0,E12,E13,a,1,0
вас,мне,0,0,E12,E13,a,1,0
мог,ум,0,0,E12,E13,a,1,0
переднем,шом,0,0,E12,E13,a,1,0
думал,мал,0,0,E12,E13,a,1,0
стоит,сидит,0,0,E12,E13,a,1,0
обвести,оглядел,0,0,E12,E13,a,1,0
не,всем,0,0,E12,E13,a,1,0
тем,Потом,0,0,E12,E13,a,1,0
правого,на,0,0,E12,E13,a,1,0
приятель,начальник,0,0,E12,E13,a,1,0
расслабленным,Посмотрев,0,0,E12,E13,a,1,0
секунды,вчера,0,0,E12,E13,a,1,0
спокойно,неожиданно,0,0,E12,E13,a,1,0
Говорите,Тут,0,0,E12,E13,a,1,0
Сам,Когда,0,0,E12,E13,a,1,0
ответил,лежал,0,0,E12,E13,a,1,0
доктора,Доктор,0,0,E12,E13,a,1,0
На,Публично,0,0,E12,E13,a,1,0
несравненного,Нашего,0,0,E12,E13,a,1,0
Неужто,Вы,0,0,E12,E13,a,1,0
сочувственных,сочув,0,0,E12,E13,a,1,0
знала,зашёл,0,0,E12,E13,a,1,0
заругался,посмотрел,0,0,E12,E13,a,1,0
не,несколько,0,0,E12,E13,a,1,0
вспомнить,вежливый,0,0,E12,E13,a,1,0
культурно,турно,0,0,E12,E13,a,1,0
сочли,сообщили,0,0,E12,E13,a,1,0
вот,Варе,0,0,E12,E13,a,1,0
закусывал,оказывался,0,0,E12,E13,a,1,0
оправдывались,кричал,0,0,E12,E13,a,1,0
Он,Полковник,0,0,E12,E13,a,1,0
ошейнике,пахнет,0,0,E12,E13,a,1,0
еще,хорошо,0,0,E12,E13,a,1,0
террористом,террористах,0,0,E12,E13,a,1,0
свой,свойальбом,0,0,E12,E13,a,1,0
Вам,ему,0,0,E12,E13,a,1,0
знал,вспомнил,0,0,E12,E13,a,1,0
выпучила,ругать,0,0,E12,E13,a,1,0
хорошая,хоро,0,0,E12,E13,a,1,0
Обиженный,Взволнованный,0,0,E12,E13,a,1,0
дадутся,обмануть,0,0,E12,E13,a,1,0
секрет,почему,0,0,E12,E13,a,1,0
по,того,0,0,E12,E13,a,1,0
отрекаться,отрекайтесь,0,0,E12,E13,a,1,0
Наблюдение,что,0,0,E12,E13,a,1,0
всего,Сначала,0,0,E12,E13,a,1,0
вздрогнула,вспомнила,0,0,E12,E13,a,1,0
как,каккрепчал,0,0,E12,E13,a,1,0
смелая,открытая,0,0,E12,E13,a,1,0
злую,знает,0,0,E12,E13,a,1,0
просите,просил,0,0,E12,E13,a,1,0
крыльцу,деревенскому,0,0,E12,E13,a,1,0
Ни,Теперь,0,0,E12,E13,a,1,0
была,ненавидела,0,0,E12,E13,a,1,0
камень,мастер,0,0,E12,E13,a,1,0
потерянный,закричал,0,0,E12,E13,a,1,0
мной,ему,0,0,E12,E13,a,1,0
угнетал,уг,0,0,E12,E13,a,1,0
пожертвован,сейчас,0,0,E12,E13,a,1,0
новыми,уже,0,0,E12,E13,a,1,0
проведать,приезжал,0,0,E12,E13,a,1,0
есть,Простите,0,0,E12,E13,a,1,0
образом,Теперь,0,0,E12,E13,a,1,0
спросил,увидел,0,0,E12,E13,a,1,0
всякой,глупые,0,0,E12,E13,a,1,0
во,при,0,0,E12,E13,a,1,0
промеж,шла,0,0,E12,E13,a,1,0
пороге,быстро,0,0,E12,E13,a,1,0
именно,так,0,0,E12,E13,a,1,0
того,такую,0,0,E12,E13,a,1,0
то,потерялто,0,0,E12,E13,a,1,0
слишком,неинтересна,0,0,E12,E13,a,1,0
семпелем,карту,0,0,E12,E13,a,1,0
говорю,знаю,0,0,E12,E13,a,1,0
стало,начался,0,0,E12,E13,a,1,0
не,нетрудно,0,0,E12,E13,a,1,0
проворство,найдёт,0,0,E12,E13,a,1,0
моей,моему,0,0,E12,E13,a,1,0
Думал,Ду,0,0,E12,E13,a,1,0
Мне,он,0,0,E12,E13,a,1,0
только,Вижутолько,0,0,E12,E13,a,1,0
дилижанс,почтовой,0,0,E12,E13,a,1,0
расспрашивать,смирилась,0,0,E12,E13,a,1,0
ответил,лёг,0,0,E12,E13,a,1,0
Папаша,Он,0,0,E12,E13,a,1,0
свое,какую,0,0,E12,E13,a,1,0
как,несмотря,0,0,E12,E13,a,1,0
уже,сейчас,0,0,E12,E13,a,1,0
тем,этому,0,0,E12,E13,a,1,0
вырос,ухаживает,0,0,E12,E13,a,1,0
Глубоко,Внизу,0,0,E12,E13,a,1,0
какой,чём,0,0,E12,E13,a,1,0
Казанзаки,Зуровым,0,0,E12,E13,a,1,0
немало,много,0,0,E12,E13,a,1,0
деятельно,но,0,0,E12,E13,a,1,0
Игнатьич,натьич,0,0,E12,E13,a,1,0
дошла,позвать,0,0,E12,E13,a,1,0
слову,ответил,0,0,E12,E13,a,1,0
прилила,появилась,0,0,E12,E13,a,1,0
раскланялся,попро,0,0,E12,E13,a,1,0
поджала,спряталась,0,0,E12,E13,a,1,0
замигал,заня,0,0,E12,E13,a,1,0
опомниться,прийти,0,0,E12,E13,a,1,0
осмелюсь,позвольте,0,0,E12,E13,a,1,0
незаметные,неинтересные,0,0,E12,E13,a,1,0
д’Эвре,Готов,0,0,E12,E13,a,1,0
Mais,Мне,0,0,E12,E13,a,1,0
Дай,дал,0,0,E12,E13,a,1,0
только,Ехать,0,0,E12,E13,a,1,0
каплям,лям,0,0,E12,E13,a,1,0
присели,встать,0,0,E12,E13,a,1,0
никого,никакого,0,0,E12,E13,a,1,0
загадала,приказала,0,0,E12,E13,a,1,0
паутину,комнату,0,0,E12,E13,a,1,0
скромные,ные,0,0,E12,E13,a,1,0
радости,радостью,0,0,E12,E13,a,1,0
решительно,стыдно,0,0,E12,E13,a,1,0
то,Что,0,0,E12,E13,a,1,0
только,от,0,0,E12,E13,a,1,0
относил,посылал,0,0,E12,E13,a,1,0
стояла,знала,0,0,E12,E13,a,1,0
человечества,жизни,0,0,E12,E13,a,1,0
сцены,нения,0,0,E12,E13,a,1,0
Слышалась,было,0,0,E12,E13,a,1,0
свои,другие,0,0,E12,E13,a,1,0
двести,начале,0,0,E12,E13,a,1,0
обрезал,чистил,0,0,E12,E13,a,1,0
Могилы,Сергеем,0,0,E12,E13,a,1,0
не,националистическая,0,0,E12,E13,a,1,0
капиталов,деньгиродителей,0,0,E12,E13,a,1,0
влево,вперёд,0,0,E12,E13,a,1,0
гардины,тут,0,0,E12,E13,a,1,0
привскочил,закричал,0,0,E12,E13,a,1,0
вашего,вашей,0,0,E12,E13,a,1,0
дамами,да,0,0,E12,E13,a,1,0
обязанное,моё,0,0,E12,E13,a,1,0
служащего,слу,0,0,E12,E13,a,1,0
его,которого,0,0,E12,E13,a,1,0
взор,столице,0,0,E12,E13,a,1,0
дрожащей,крупным,0,0,E12,E13,a,1,0
Тридцать,Двадцать,0,0,E12,E13,a,1,0
чем,чёмваша,0,0,E12,E13,a,1,0
посадили,убили,0,0,E12,E13,a,1,0
равных,помогли,0,0,E12,E13,a,1,0
Да,Чем,0,0,E12,E13,a,1,0
Облонский,Левин,0,0,E12,E13,a,1,0
неповоротливой,агрессивная,0,0,E12,E13,a,1,0
обсыпать,приготовить,0,0,E12,E13,a,1,0
служил,стал,0,0,E12,E13,a,1,0
хоть,только,0,0,E12,E13,a,1,0
московские,мос,0,0,E12,E13,a,1,0
печеньями,печеньем,0,0,E12,E13,a,1,0
прочим,всех,0,0,E12,E13,a,1,0
присутствие,приёмную,0,0,E12,E13,a,1,0
проявил,сообщал,0,0,E12,E13,a,1,0
шло,вели,0,0,E12,E13,a,1,0
будет,могу,0,0,E12,E13,a,1,0
того,же,0,0,E12,E13,a,1,0
Струков,Соболев,0,0,E12,E13,a,1,0
любит,хочу,0,0,E12,E13,a,1,0
дождя,Дождь,0,0,E12,E13,a,1,0
возрасте,детстве,0,0,E12,E13,a,1,0
были,взял,0,0,E12,E13,a,1,0
одну,несколько,0,0,E12,E13,a,1,0
круто,давно,0,0,E12,E13,a,1,0
отвечая,от,0,0,E12,E13,a,1,0
он,нему,0,0,E12,E13,a,1,0
Александрович,сандрович,0,0,E12,E13,a,1,0
Эхма,Эх,0,0,E12,E13,a,1,0
свойство,Простите,0,0,E12,E13,a,1,0
Comtesse,графиня,0,0,E12,E13,a,1,0
воротиться,воз,0,0,E12,E13,a,1,0
всь,вдруг,0,0,E12,E13,a,1,0
скрываются,спиной,0,0,E12,E13,a,1,0
постель,вать,0,0,E12,E13,a,1,0
ужаснулся,нулся,0,0,E12,E13,a,1,0
было,вели,0,0,E12,E13,a,1,0
продолжать,должать,0,0,E12,E13,a,1,0
приходится,может,0,0,E12,E13,a,1,0
почитает,низкосчитает,0,0,E12,E13,a,1,0
полдень,праздник,0,0,E12,E13,a,1,0
Иванович,Вознесенский,0,0,E12,E13,a,1,0
гарема,сапогами,0,0,E12,E13,a,1,0
Кости,Костя,0,0,E12,E13,a,1,0
портмоне,извозчику,0,0,E12,E13,a,1,0
этой,это,0,0,E12,E13,a,1,0
Было,Но,0,0,E12,E13,a,1,0
чувствую,удивляюсь,0,0,E12,E13,a,1,0
примешивалось,чувствовалась,0,0,E12,E13,a,1,0
думая,возьми,0,0,E12,E13,a,1,0
огню,бедным,0,0,E12,E13,a,1,0
воспитал,питал,0,0,E12,E13,a,1,0
анекдот,анекдотом,0,0,E12,E13,a,1,0
подойти,подошли,0,0,E12,E13,a,1,0
Сергеевна,геевна,0,0,E12,E13,a,1,0
Старцев,Стар,0,0,E14,E10,a,1,0
Говорите,ведь,0,0,E14,E10,a,1,0
умеет,смеяться,0,0,E14,E10,a,1,0
Прокофьевной,Епанчиных,0,0,E14,E10,a,1,0
павшее,тварь,0,0,E14,E10,a,1,0
потянулся,начал,0,0,E14,E10,a,1,0
фланга,флангах,0,0,E14,E10,a,1,0
трещотками,охотничьих,0,0,E14,E10,a,1,0
ли,Почему,0,0,E14,E10,a,1,0
поспевая,по,0,0,E14,E10,a,1,0
вслушивался,вежливо,0,0,E14,E10,a,1,0
немедленною,светловолосому,0,0,E14,E10,a,1,0
Без,Обычный,0,0,E14,E10,a,1,0
мучало,было,0,0,E14,E10,a,1,0
оказала,изменилось,0,0,E14,E10,a,1,0
походила,была,0,0,E14,E10,a,1,0
поседев,поседели,0,0,E14,E10,a,1,0
человек,журналист,0,0,E14,E10,a,1,0
достойных,пожалуйста,0,0,E14,E10,a,1,0
то,Наконецто,0,0,E14,E10,a,1,0
проставишь,возьмёшь,0,0,E14,E10,a,1,0
изволили,приехали,0,0,E14,E10,a,1,0
кончивших,чивших,0,0,E14,E10,a,1,0
одной,ничего,0,0,E14,E10,a,1,0
вспоминает,вспо,0,0,E14,E10,a,1,0
это,там,0,0,E14,E10,a,1,0
рассвете,ранним,0,0,E14,E10,a,1,0
ладони,банке,0,0,E14,E10,a,1,0
окошком,окошка,0,0,E14,E10,a,1,0
нельзя,такие,0,0,E14,E10,a,1,0
Это,Этомой,0,0,E14,E10,a,1,0
попрошу,Расскажите,0,0,E14,E10,a,1,0
чувствовал,увидел,0,0,E14,E10,a,1,0
его,Бросился,0,0,E14,E10,a,1,0
видеть,туда,0,0,E14,E10,a,1,0
Писаря,Врачи,0,0,E14,E10,a,1,0
дали,убили,0,0,E14,E10,a,1,0
карманы,пикники,0,0,E14,E10,a,1,0
Если,это,0,0,E14,E10,a,1,0
свойство,пожалуйста,0,0,E14,E10,a,1,0
замирало,увидел,0,0,E14,E10,a,1,0
ординарностями,ординарными,0,0,E14,E10,a,1,0
потяни,очень,0,0,E14,E10,a,1,0
Папенька,Па,0,0,E14,E10,a,1,0
Не,Какая,0,0,E14,E10,a,1,0
вспомнила,вспо,0,0,E14,E10,a,1,0
составлен,Вот,0,0,E14,E10,a,1,0
свою,своюдушу,0,0,E14,E10,a,1,0
спросил,занимался,0,0,E14,E10,a,1,0
Надеялся,освободился,0,0,E14,E10,a,1,0
смотрела,обратилась,0,0,E14,E10,a,1,0
сделал,тоже,0,0,E14,E10,a,1,0
понят,понял,0,0,E14,E10,a,1,0
любимого,тебя,0,0,E14,E10,a,1,0
будут,вынесут,0,0,E14,E10,a,1,0
если,хочу,0,0,E14,E10,a,1,0
Раздевшись,Раз,0,0,E14,E10,a,1,0
приходилось,ехали,0,0,E14,E10,a,1,0
один,немного,0,0,E14,E10,a,1,0
Человек,Фандорин,0,0,E14,E10,a,1,0
перетянута,причёска,0,0,E14,E10,a,1,0
услышит,ждёт,0,0,E14,E10,a,1,0
Павлович,гость,0,0,E14,E10,a,1,0
За,Около,0,0,E14,E10,a,1,0
никакого,ника,0,0,E14,E10,a,1,0
сказал,сидел,0,0,E14,E10,a,1,0
скажите,спросил,0,0,E14,E10,a,1,0
засверкали,закричала,0,0,E14,E10,a,1,0
выслушала,согласна,0,0,E14,E10,a,1,0
Екатерина,Екате,0,0,E14,E10,a,1,0
поспешили,решили,0,0,E14,E10,a,1,0
волнение,вол,0,0,E14,E10,a,1,0
жену,Анну,0,0,E14,E10,a,1,0
покосился,добавил,0,0,E14,E10,a,1,0
Виттовой,Светловолосый,0,0,E14,E10,a,1,0
возникла,проиграл,0,0,E14,E10,a,1,0
Бахус,Ба,0,0,E14,E10,a,1,0
придумать,знал,0,0,E14,E10,a,1,0
шляпу,ключом,0,0,E14,E10,a,1,0
позволит,будет,0,0,E14,E10,a,1,0
пакета,молитву,0,0,E14,E10,a,1,0
маялся,радости,0,0,E14,E10,a,1,0
некий,этого,0,0,E14,E10,a,1,0
Авось,быть,0,0,E14,E10,a,1,0
Таким,Теперь,0,0,E14,E10,a,1,0
видел,разговаривал,0,0,E14,E10,a,1,0
Стало,моё,0,0,E14,E10,a,1,0
во,всегда,0,0,E14,E10,a,1,0
родство,друзей,0,0,E14,E10,a,1,0
красками,совсем,0,0,E14,E10,a,1,0
этим,эту,0,0,E14,E10,a,1,0
сторублевую,извозчику,0,0,E14,E10,a,1,0
Всему,Позовите,0,0,E14,E10,a,1,0
Так,Говорили,0,0,E14,E10,a,1,0
вздумал,приехал,0,0,E14,E10,a,1,0
проявляете,Заботитесь,0,0,E14,E10,a,1,0
описан,посмотреть,0,0,E14,E10,a,1,0
человек,лет,0,0,E14,E10,a,1,0
явно,сразу,0,0,E14,E10,a,1,0
машинисту,гостю,0,0,E14,E10,a,1,0
садясь,дясь,0,0,E14,E10,a,1,0
спрашивать,вать,0,0,E14,E10,a,1,0
Ольга,Смерть,0,0,E14,E10,a,1,0
приметной,тёмных,0,0,E14,E10,a,1,0
настаивать,наста,0,0,E14,E10,a,1,0
еще,никогда,0,0,E14,E10,a,1,0
минуту,время,0,0,E14,E10,a,1,0
беспременно,хочет,0,0,E14,E10,a,1,0
ее,жены,0,0,E14,E10,a,1,0
брат,роман,0,0,E14,E10,a,1,0
огня,опять,0,0,E14,E10,a,1,0
напевал,вспомнил,0,0,E14,E10,a,1,0
тактом,так,0,0,E14,E10,a,1,0
заслужат,будем,0,0,E14,E10,a,1,0
мало,много,0,0,E14,E10,a,1,0
двадцатидвухлетняя,года,0,0,E14,E10,a,1,0
повернулась,вспомнила,0,0,E14,E10,a,1,0
нагляжусь,когда,0,0,E14,E10,a,1,0
целый,гаремом,0,0,E14,E10,a,1,0
игнорирую,норирую,0,0,E14,E10,a,1,0
посвященные,которые,0,0,E14,E10,a,1,0
свояченица,Кити,0,0,E14,E10,a,1,0
сочинении,со,0,0,E14,E10,a,1,0
таки,уже,0,0,E14,E10,a,1,0
деревни,церкви,0,0,E14,E10,a,1,0
некому,нибудь,0,0,E14,E10,a,1,0
сочинял,закажут,0,0,E14,E10,a,1,0
все,человек,0,0,E14,E10,a,1,0
борьбу,Выступая,0,0,E14,E10,a,1,0
От,Пока,0,0,E14,E10,a,1,0
не,тебя,0,0,E14,E10,a,1,0
волнуемая,волновалась,0,0,E14,E10,a,1,0
министру,Анвару,0,0,E14,E10,a,1,0
Свет,Звуки,0,0,E14,E10,a,1,0
казнь,казньраньше,0,0,E14,E10,a,1,0
отец,подлец,0,0,E14,E10,a,1,0
это,на,0,0,E14,E10,a,1,0
взять,возьмёт,0,0,E14,E10,a,1,0
улыбку,улы,0,0,E14,E10,a,1,0
солидных,средних,0,0,E14,E10,a,1,0
скоро,поэтому,0,0,E14,E10,a,1,0
ним,она,0,0,E14,E10,a,1,0
красить,делать,0,0,E14,E10,a,1,0
рассказал,спросил,0,0,E14,E10,a,1,0
расстегнуой,расстёг,0,0,E14,E10,a,1,0
до,позвать,0,0,E14,E10,a,1,0
Но,Как,0,0,E14,E10,a,1,0
разорвал,дал,0,0,E14,E10,a,1,0
подозрительно,случайно,0,0,E14,E10,a,1,0
увидел,закричал,0,0,E14,E10,a,1,0
возбуждала,ненавидел,0,0,E14,E10,a,1,0
желанием,желал,0,0,E14,E10,a,1,0
стало,немного,0,0,E14,E10,a,1,0
выпростала,встать,0,0,E14,E10,a,1,0
merci,всё,0,0,E14,E10,a,1,0
Стало,надо,0,0,E14,E10,a,1,0
гораздо,ещё,0,0,E14,E10,a,1,0
рукой,далеко,0,0,E14,E10,a,1,0
Лжете,говорите,0,0,E14,E10,a,1,0
ощутить,тить,0,0,E14,E10,a,1,0
душевного,жалость,0,0,E14,E10,a,1,0
наклонясь,подошёл,0,0,E14,E10,a,1,0
очевидно,уже,0,0,E14,E10,a,1,0
второстепенную,второстепенная,0,0,E14,E10,a,1,0
отнюдь,ещё,0,0,E14,E10,a,1,0
кончивших,кон,0,0,E14,E10,a,1,0
особой,никому,0,0,E14,E10,a,1,0
вам,вамсегодня,0,0,E14,E10,a,1,0
графом,Сергей,0,0,E14,E10,a,1,0
поровнявшись,спросил,0,0,E14,E10,a,1,0
приятеля,господина,0,0,E14,E10,a,1,0
книжки,тетради,0,0,E14,E10,a,1,0
тряхнул,продолжил,0,0,E14,E10,a,1,0
небольшом,старом,0,0,E14,E10,a,1,0
издержанных,которые,0,0,E14,E10,a,1,0
барин,рин,0,0,E14,E10,a,1,0
Баронессе,После,0,0,E14,E10,a,1,0
употребить,ребить,0,0,E14,E10,a,1,0
сойдет,ждали,0,0,E14,E10,a,1,0
подымается,съесть,0,0,E14,E10,a,1,0
серым,серый,0,0,E14,E10,a,1,0
Еще,Смеялись,0,0,E14,E10,a,1,0
слепые,глупы,0,0,E14,E10,a,1,0
отличать,понимать,0,0,E14,E10,a,1,0
Думайте,Никому,0,0,E14,E10,a,1,0
уцепились,обсуждать,0,0,E14,E10,a,1,0
набелена,встали,0,0,E14,E10,a,1,0
или,было,0,0,E14,E10,a,1,0
chai,взяток,0,0,E14,E10,a,1,0
Но,этом,0,0,E14,E10,a,1,0
Ну,нужна,0,0,E14,E10,a,1,0
совести,руках,0,0,E14,E10,a,1,0
Клянусь,показалась,0,0,E14,E10,a,1,0
Это,Слуга,0,0,E14,E10,a,1,0
Что,общем,0,0,E14,E10,a,1,0
цветными,красивой,0,0,E14,E10,a,1,0
говорила,начинала,0,0,E14,E10,a,1,0
супружеству,жизни,0,0,E14,E10,a,1,0
свободен,боден,0,0,E14,E10,a,1,0
позади,Недалеко,0,0,E14,E10,a,1,0
сам,рядом,0,0,E14,E10,a,1,0
моей,любимой,0,0,E14,E10,a,1,0
туманно,радостно,0,0,E14,E10,a,1,0
Ивановичу,Вознесенский,0,0,E14,E10,a,1,0
Сегодня,годня,0,0,E14,E10,a,1,0
вздумалось,смеялся,0,0,E14,E10,a,1,0
Игнатьевича,натьевича,0,0,E14,E10,a,1,0
капитуляция,Статья,0,0,E14,E10,a,1,0
наши,был,0,0,E14,E10,a,1,0
воспоминаний,новение,0,0,E14,E10,a,1,0
поражением,этом,0,0,E14,E10,a,1,0
дружбою,дружбу,0,0,E14,E10,a,1,0
басурманского,Султана,0,0,E14,E10,a,1,0
ближе,Вечером,0,0,E14,E10,a,1,0
эквилибриста,обязательно,0,0,E14,E10,a,1,0
извольте,слушайте,0,0,E14,E10,a,1,0
какая,чей,0,0,E14,E10,a,1,0
еще,далее,0,0,E14,E10,a,1,0
господин,господа,0,0,E14,E10,a,1,0
его,волнение,0,0,E14,E10,a,1,0
сценой,Третий,0,0,E14,E10,a,1,0
Он,Фандорин,0,0,E14,E10,a,1,0
унизительно,неправильным,0,0,E14,E10,a,1,0
смотрели,были,0,0,E14,E10,a,1,0
означалось,озна,0,0,E14,E10,a,1,0
Да,говорил,0,0,E14,E10,a,1,0
зажегся,появил,0,0,E14,E10,a,1,0
посмел,нельзя,0,0,E14,E10,a,1,0
пробившуюся,вышитые,0,0,E14,E10,a,1,0
Великие,Великое,0,0,E14,E10,a,1,0
кресел,кресла,0,0,E14,E10,a,1,0
Официанты,минуту,0,0,E14,E10,a,1,0
собрались,начнётся,0,0,E14,E10,a,1,0
меня,них,0,0,E14,E10,a,1,0
остановился,шёл,0,0,E14,E10,a,1,0
Немецкого,Не,0,0,E14,E10,a,1,0
Где,вот,0,0,E14,E10,a,1,0
поедет,пообещал,0,0,E14,E10,a,1,0
решетку,грязную,0,0,E14,E10,a,1,0
слышал,вспоминалось,0,0,E14,E10,a,1,0
награждая,поблагодарить,0,0,E14,E10,a,1,0
сцепились,начали,0,0,E14,E10,a,1,0
картам,карты,0,0,E14,E10,a,1,0
не,неплохо,0,0,E14,E10,a,1,0
них,люди,0,0,E14,E10,a,1,0
существовал,видели,0,0,E14,E10,a,1,0
пройдет,здесь,0,0,E14,E10,a,1,0
зарвались,активны,0,0,E14,E10,a,1,0
захочет,похоже,0,0,E14,E10,a,1,0
велела,Слышали,0,0,E14,E10,a,1,0
подозрение,агрессию,0,0,E14,E10,a,1,0
заблуждаюсь,понимаю,0,0,E14,E10,a,1,0
паперти,нигде,0,0,E14,E10,a,1,0
материалистически,риалистически,0,0,E14,E10,a,1,0
отставной,старушки,0,0,E14,E10,a,1,0
изволите,видите,0,0,E14,E10,a,1,0
старичку,Облонского,0,0,E14,E10,a,1,0
приехавшие,которые,0,0,E14,E10,a,1,0
Займусь,буду,0,0,E14,E10,a,1,0
он,мне,0,0,E14,E10,a,1,0
погорельцев,по,0,0,E14,E10,a,1,0
Карнеевку,Сторож,0,0,E14,E10,a,1,0
хоронить,дальше,0,0,E14,E10,a,1,0
клавишей,клавиши,0,0,E14,E10,a,1,0
Ничего,интересом,0,0,E14,E10,a,1,0
отворяй,встречай,0,0,E14,E10,a,1,0
Какой,Но,0,0,E14,E10,a,1,0
изгладится,навсегда,0,0,E14,E10,a,1,0
Облонская,Щербацкая,0,0,E14,E10,a,1,0
дает,будет,0,0,E14,E10,a,1,0
Был,Звали,0,0,E14,E10,a,1,0
вы,разрешайте,0,0,E14,E10,a,1,0
сумела,хотела,0,0,E14,E10,a,1,0
состоял,задавал,0,0,E14,E10,a,1,0
так,прямо,0,0,E14,E10,a,1,0
отдала,поклонилась,0,0,E14,E10,a,1,0
поскорее,посмотрел,0,0,E14,E10,a,1,0
Нет,Валет,0,0,E14,E10,a,1,0
по,для,0,0,E14,E10,a,1,0
приезжавший,который,0,0,E14,E10,a,1,0
Боже,же,0,0,E14,E10,a,1,0
голосом,тихим,0,0,E14,E10,a,1,0
что,общество,0,0,E14,E10,a,1,0
Расскажите,его,0,0,E14,E10,a,1,0
мягких,мяг,0,0,E14,E10,a,1,0
Им,чем,0,0,E14,E10,a,1,0
отчасти,заранее,0,0,E14,E10,a,1,0
раздались,стали,0,0,E14,E10,a,1,0
Игнатьевич,натьевич,0,0,E14,E10,a,1,0
позволяю,хочу,0,0,E14,E10,a,1,0
подготовиться,подготовились,0,0,E14,E10,a,1,0
проснусь,просну,0,0,E14,E10,a,1,0
Щербацкая,бацкая,0,0,E14,E10,a,1,0
бы,бысказать,0,0,E14,E10,a,1,0
Жан,ЖанЖак,0,0,E14,E10,a,1,0
добрая,Жалкая,0,0,E14,E10,a,1,0
дали,обещали,0,0,E14,E10,a,1,0
что,ли,0,0,E14,E10,a,1,0
Согласно,Договорились,0,0,E14,E10,a,1,0
camйlias,камелиями,0,0,E14,E10,a,1,0
взять,победить,0,0,E14,E10,a,1,0
тварь,ужасную,0,0,E14,E10,a,1,0
кого,того,0,0,E14,E10,a,1,0
что,всё,0,0,E14,E10,a,1,0
Стало,Есть,0,0,E14,E10,a,1,0
банк,играть,0,0,E14,E10,a,1,0
Девка,де,0,0,E14,E10,a,1,0
главное,ученье,0,0,E14,E10,a,1,0
ней,женщину,0,0,E14,E10,a,1,0
ней,Ольге,0,0,E14,E10,a,1,0
неверия,не,0,0,E14,E10,a,1,0
