source,target,score_1,score_2,editor_1,editor_2,partition,agreement,score_3,source_pos,target_pos,source_lemma,target_lemma,source_sentence,target_sentence,source_cefr,target_cefr,source_ipm,target_ipm,target_sentence_level,target_level_comparison
обозвала,назвала,1,2,E2,E3,e&a,0,2,VERB,VERB,обозвать,назвать,"Вероятно, это был муж, которого она тогда в Ялте, в порыве горького чувства, обозвала лакеем. ","Наверное, это был муж, которого она тогда в Ялте с горьким чувством назвала лакеем. ",,,5.7,205.1,b1,No word level
препочтеннейший,прелюбезнейший,0,2,E2,E3,e&a,0,2,ADJ,ADJ,препочтенный,прелюбезный,"— Совершенная правда, — сказал Чичиков, — препочтеннейший человек. ","— Совершенная правда, — сказал Чичиков, — прелюбезнейший человек. ",,,,,b1_c1,No word level
отрекаюсь,отказываюсь,1,2,E2,E3,e&a,0,2,VERB,VERB,отрекаться,отказываться,"Я как приехал, она и говорит: Я от тебя не отрекаюсь совсем; я только подождать еще хочу, сколько мне будет угодно, потому я все еще сама себе госпожа. ","Я как приехал, она и говорит: — Я от тебя не отказываюсь совсем; я только подождать ещё хочу. ",c1,b1,3.4,51.2,b1,Word level equal to target CEFR
беспрепятственно,легко,0,2,E2,E3,e&a,0,2,ADV,ADV,беспрепятственно,легко,"А в душе Алексея Александровича, несмотря на полное теперь, как ему казалось, презрительное равнодушие к жене, оставалось в отношении к ней одно чувство — нежелание того, чтоб она беспрепятственно могла соединиться с Вронским, чтобы преступление ее было для нее выгодно. ","В душе же Алексея Александровича, несмотря на полное теперь, как ему казалось, презрительное равнодушие к жене, оставалось нежелание того, чтобы она легко могла соединиться с Вронским, чтобы пре ступление её было для неё выгодно. ",,a1,4.5,157.9,b1,Word level lower than target CEFR
утаивал,скрывал,0,2,E2,E3,e&a,0,2,VERB,VERB,утаивать,скрывать,"Я им все говорил, ничего от них не утаивал. ","Я им всё говорил, ничего от них не скрывал. ",c1,c1,1.4,49.3,b1,Word level higher than target CEFR
говорил,сказал,2,2,E2,E3,e&a,1,2,VERB,VERB,говорить,сказать," - говорил Вронский, но он сам чувствовал, что не было никакой убедительности в его голосе","— сказал Вронский, но сам чувствовал, что не было никакой уверенности в его голосе. ",a1,a1,1755,2396.6,b1,Word level lower than target CEFR
отстранилась,отошла,2,1,E2,E3,e&a,0,2,VERB,VERB,отстраниться,отойти,"Она с отвращением отстранилась от него и, не взглянув ему в лицо, отвечала: — Нет, нет, оставьте меня, я останусь.","Она отошла от него и, не взглянув ему в лицо, отвечала: — Нет, оставьте меня, я остану - сь. ",,,4,55.9,b1,No word level
сходно,похоже,0,2,E2,E3,e&a,0,2,ADJ,ADJ,сходный,похожий,"Если бы, любя женщину более всего на свете, или предвкушая возможность такой любви, вдруг увидеть ее на цепи, за железною решеткой, под палкой смотрителя, - то такое впечатление было бы несколько сходно с тем, что ощутил теперь князь","Если бы, любя женщину более всего на свете, вдруг увидеть её на цепи, за железной решёткой, — то такое впечатление было бы похоже с тем, что почувствовал теперь князь",c1,b1,15,206.5,b1,Word level equal to target CEFR
дилижанс,карете,2,1,E2,E3,e&a,0,2,NOUN,NOUN,дилижанс,карета,От Букарешта до Турну - Мегуреле ходил дилижанс. ,От Бухареста до румынского порта Турну - Мегуреле доехала на почтовой карете. ,,c1,0.8,9.4,b1,Word level higher than target CEFR
Вмиг,Сразу,0,2,E2,E3,e&a,0,2,ADV,ADV,вмиг,сразу,"Вмиг мне стало весело, и я шагнул за шлагбаум, пошел между засеянных полей и лугов, не слышал усталости, но чувствовал только всем составом своим, что какое - то бремя спадает с души моей. ","Сразу мне стало весело, и я пошёл между полей, не слышал усталости, но чувствовал только, что какой - то груз спадает с души моей. ",c1,a2,5.4,486,b1,Word level lower than target CEFR
приблизился,подошёл,2,2,E2,E3,e&a,1,2,VERB,VERB,приблизиться,подойти,"Когда он приблизился к коляске, он увидал рядом со Степаном Аркадьичем не князя, а красивого полного молодого человека в шотландском колпачке с длинными концами лент назади. ","Когда Левин подошёл к коляске, он увидал рядом со Степаном Аркадьичем красивого полного молодого человека в шотландской шапке. ",,,24.4,190,b1,No word level
ужаснула,испугала,2,2,E2,E3,e&a,1,2,VERB,VERB,ужаснуть,испугать,"Мысль эта ужаснула Лизу, и она решилась на другое утро опять явиться в рощу Акулиной.","Мысль эта испугала Лизу, и она решила на другое утро опять прийти в лес Акулиной.",,b2,0.7,9.2,a2,Word level higher than target CEFR
сталкивался,встречался,2,2,E2,E3,e&a,1,2,VERB,VERB,сталкиваться,встречаться,"И каждый раз, когда он сталкивался с самою жизнью, он отстранялся от нее. ","И каждый раз, когда он встречался с настоящей жизнью, он уходил от неё. ",c1,a2,25,106.8,b1,Word level lower than target CEFR
пробормотал,сказал,2,2,E2,E3,e&a,1,2,VERB,VERB,бормотать,сказать,"— наконец, пробормотал этот странный человек, ударив кулаком по чугунной полке. — Без меня Абдул - Гамид сожрет благородного Мидхата!",— наконец сказал этот странный человек. — Без меня султан уничтожит великого Мидхата!,c1,a1,26.3,2396.6,b1,Word level lower than target CEFR
заглядывались,засматривались,2,2,E2,E3,e&a,1,2,VERB,VERB,заглядываться,засматриваться,"Барышни поглядывали на него, а иные и заглядывались; но Алексей мало ими занимался, а они причиной его нечувствительности полагали любовную связь. ","Барышни посматривали на него, а некоторые и засматривались; но Алексей мало ими занимался, а они считали причиной его равнодушия любовь к другой.",,b2,1.1,0.6,a2,Word level higher than target CEFR
помешанные,сумасшедшие,0,2,E2,E3,e&a,0,2,ADJ,ADJ,помешанный,сумасшедший,"И она, и Аглая остановились как бы в ожидании, и обе, как помешанные, смотрели на князя. ","И она, и Аглая остановились в ожидании, и обе, как сумасшедшие, смотрели на князя. ",,b2,1.2,35.7,b1,Word level higher than target CEFR
обворожительный,прекрасный,2,2,E2,E3,e&a,1,2,ADJ,ADJ,обворожительный,прекрасный,"Очень богат, умен, знатен, на пути блестящей военно - придворной карьеры и обворожительный человек. ","Очень бо гат, умён, знатен, на пути блестящей военной карьеры и прекрасный человек. ",c1,a2,1.5,148.4,b1,Word level lower than target CEFR
тужу,грущу,0,2,E2,E3,e&a,0,2,VERB,VERB,тучевать,грусти,"— Может быть, оттого, что я радуюсь тому, что у меня есть, и не тужу о том, чего нету, — сказал Левин, вспомнив о Кити.","— Может быть, потому, что я радуюсь тому, что у меня есть, и не грущу о том, чего нету, — сказал Левин, вспомнив о Кити. — Твои дела как? ",,,,,b1,No word level
пристальные,внимательные,0,2,E2,E3,e&a,0,2,ADJ,ADJ,пристальный,внимательный,"Глаза его были большие, голубые и пристальные; во взгляде их было что - то тихое, но тяжелое, что - то полное того странного выражения, по которому некоторые угадывают с первого взгляда в субъекте падучую болезнь. ","Глаза его были большие, голубые и внимательные; в них что - то говорило о возможной болезни. ",c1,a2,11.1,24.8,b1,Word level lower than target CEFR
твердил,повторял,2,0,E2,E3,e&a,0,2,VERB,VERB,твердить,повторять,"«Господи, прости и помоги», – не переставая твердил он себе, несмотря на столь долгое и казавшееся полным отчуждение, чувствуя, что он обращается к богу точно так же доверчиво и просто, как и во времена детства и первой молодости.","«Господи, прости и помоги», — всё время повторял Левин себе, чувствуя, что он обращается к Богу так же просто, как и во времена детства и первой молодости. ",,a1,15.5,79.9,b1,Word level lower than target CEFR
Всяко,Всякое,2,0,E2,E3,e&a,0,2,ADV,DET,всяко,всякий,Всяко случается. ,Всякое случается. ,,b2,1.7,373.2,a2,Word level higher than target CEFR
условились,договорились,2,2,E2,E3,e&a,1,2,VERB,VERB,условиться,договориться,"У нас было условие, тогда еще, В тот вечер, накануне отъезда: когда уже мы сказали все, что я вам пересказала, и условились, мы вышли сюда гулять, именно на эту набережную. ","У нас было условие, тогда ещё, в тот вечер, перед отъездом: когда уже мы сказали всё, что я вам рассказала, и договорились, мы вышли сюда гулять, на эту набережную. ",,,4.4,54.8,b1,No word level
отправиться,ехать,2,0,E2,E3,e&a,0,2,VERB,VERB,отправиться,ехать,"Он пощупал пульс больного, поговорил с ним по - немецки, и по - русски объявил, что ему нужно одно спокойствие и что дни через два ему можно будет отправиться в дорогу. ","Он осмотрел больного, поговорил с ним по - немецки и по - русски объявил, что больному нужно одно спокойствие и что дня через два ему можно будет ехать дальше. ",,a1,78.2,198.2,a2,Word level lower than target CEFR
бранил,ругал,2,2,E2,E3,e&a,1,2,VERB,VERB,бранить,ругать,Деряев почти вслух бранил докторов и советовал мировому полечиться у какого - то Евстрата Иваныча. ,Деряев ругал докторов и советовал лечиться у другого врача. ,c1,b1,2.1,23.2,b1,Word level equal to target CEFR
воображаемому,придуманному,0,2,E2,E3,e&a,0,2,VERB,VERB,воображать,придумать,"Отец всегда говорил с ним – так чувствовал Сережа, – как будто он обращался к какому - то воображаемому им мальчику, одному из таких, какие бывают в книжках, но совсем не похожему на Сережу.","Отец всегда говорил с ним, как будто он обращался к какому - то придуманному им мальчику, одному из таких, какие бывают в книжках, но совсем не похожему на Серёжу. ",c1,,11.6,97.9,b1,No word level
вскричала,воскликнула,0,2,E2,E3,e&a,0,2,VERB,VERB,вскричать,воскликнуть, - вдруг вскричала Аглая: - для чего вы это им говорите? ,— вдруг воскликнула Аглая. — Для чего вы это им говорите? ,,,6.9,50.5,b1,No word level
долее,дольше,2,0,E2,E3,e&a,0,2,ADV,ADV,долее,долго,"Сидя на своём месте за работой, она чувствовала его приближение, – подымала голову, смотрела на него с каждым днём долее и долее. ","Сидя на своём месте за работой, она чувствовала, как он подходил, — подни мала голову, смотрела на него с каждым днём всё дольше и дольше. ",,a1,,253.1,b1,Word level lower than target CEFR
повидаться,увидеться,0,2,E2,E3,e&a,0,2,VERB,VERB,повидаться,увидеться,"Ему хотелось повидаться с Анной Сергеевной и поговорить, устроить свидание если можно.","Ему хотелось увидеться с Анной Сергеевной и поговорить, если получится. ",,b2,4.1,10.9,b1,Word level higher than target CEFR
желаю,хочу,0,2,E2,E3,e&a,0,2,VERB,VERB,желать,хотеть,"И в войне, которая для России бесполезна и даже губительна, участвовать не желаю","И в войне, которая опасна для России, участвовать не хочу, — спокойно отвечал Эраст Петро — О войне не вы решаете. ",a1,a1,123.1,991.3,b1,Word level lower than target CEFR
поглядывали,посматривали,2,2,E2,E3,e&a,1,2,VERB,VERB,поглядывать,посматривать,"Барышни поглядывали на него, а иные и заглядывались; но Алексей мало ими занимался, а они причиной его нечувствительности полагали любовную связь. ","Барышни посматривали на него, а некоторые и засматривались; но Алексей мало ими занимался, а они считали причиной его равнодушия любовь к другой.",,,26.6,7.1,a2,No word level
забавы,развлечения,2,2,E2,E3,e&a,1,2,NOUN,NOUN,забава,развлечение," - Удовольствие, конечно, и для меня чрезвычайное, но не все же забавы, иногда, знаете, случаются и дела. При том же я никак не могу, до сих пор, разглядеть между нами общего. так сказать причины. - Причины нет, бесспорно, и общего, конечно, мало. ","— Удовольствие, конечно, и для меня большое, но не всё же развлечения, иногда, знаете, случаются и дела",,c1,11,18.1,b1,Word level higher than target CEFR
доложить,сказать,1,2,E2,E3,e&a,0,2,VERB,VERB,доложить,сказать,Что доложить государю? ,— Что сказать государю? ,,a1,32.4,2396.6,b1,Word level lower than target CEFR
молю,прошу,2,2,E2,E3,e,1,2,VERB,VERB,молеть,просить,"Именем того, чем вы теперь страдаете, заранее молю вас, простите меня!.. ","Заранее прошу вас, простите меня!..",,a1,,215.9,b1,Word level lower than target CEFR
догадывался,понимал,2,2,E2,E3,e&a,1,2,VERB,VERB,догадываться,понимать,"Теперь смотритель, соображая все обстоятельства, догадывался, что болезнь была притворная. ","Теперь смотритель понимал, что болезнь была обманом. ",b2,a1,34.2,559.7,a2,Word level lower than target CEFR
следила,наблюдала,2,2,E2,E3,e&a,1,2,VERB,VERB,следить,наблюдать,"Анна Сергеевна не снилась ему, а шла за ним всюду, как тень, и следила за ним. ","Анна Сергеевна не снилась ему, а шла за ним везде и наблюдала за ним. ",b2,b1,75.8,95.5,b1,Word level equal to target CEFR
жалкий,презренный,0,2,E2,E3,e&a,0,2,ADJ,ADJ,жалкий,презренный,"Каково же ей было, прямо и без приготовления, услышать, что этот последний в роде князь Мышкин, о котором она уже что - то слышала, не больше как жалкий идиот и почти - что нищий, и принимает подаяние на бедность. ","Каково же ей было услышать, что последний в роде князь Мышкин не больше как презренный идиот и почти нищий",c1,,30.4,2.3,b1,No word level
бранились,ссорились,0,2,E2,E3,e&a,0,2,VERB,VERB,браниться,ссориться,"Вы ведь не бранились еще с молодым Берестовым; а старики пускай себе дерутся, коли им это весело","Вы ведь не ссорились ещё с молодым Берестовым; а старики пусть ссорятся, если им это весело",,b2,1.6,10.9,a2,Word level higher than target CEFR
пустяки,глупости,2,2,E2,E3,e&a,1,2,NOUN,NOUN,пустяк,глупость,"– Ах, какие пустяки! ","— Ах, какие глупости! ",c1,b2,19.5,39.9,b1,Word level higher than target CEFR
отворилась,открылась,2,2,E2,E3,e&a,1,2,VERB,VERB,отвориться,открыться,"Между тем совсем рассвело; наконец он прилег на подушку, как бы совсем уже в бессилии и в отчаянии, и прижался своим лицом к бледному и неподвижному лицу Рогожина; слезы текли из его глаз на щеки Рогожина, но, может быть, он уж и не слыхал тогда своих собственных слез и уже не знал ничего о них. По крайней мере, когда, уже после многих часов, отворилась дверь и вошли люди, то они застали убийцу в полном беспамятстве и горячке. ","Когда уже после многих часов, открылась дверь и вошли люди, они застали убийцу в полном беспамятстве. ",,,5,63,b1,No word level
воскликнул,крикнул,1,2,E2,E3,e&a,0,2,VERB,VERB,воскликнуть,крикнуть,— воскликнул дЭвре.— Пгекасная идея! ,— крикнул дЭвре. — Есть прекрасная идея! ,,b1,50.5,77.2,b1,Word level equal to target CEFR
шикарный,прекрасную,2,2,E2,E3,e&a,1,2,ADJ,ADJ,шикарный,прекрасный,"— он окончательно перешел на французский, все более распаляясь. — Мадемуазель Барбара прокатится в мягком вагоне, я напишу шикарный репортаж, а с нами съездит кто - нибудь из штабных офицеров и посмотрит на турецкие тылы. ","Мадемуазель Варя покатается на поезде, я напишу прекрасную статью, а кто - нибудь из ваших офицеров посмотрит тылы турок! ",c1,a2,13.1,148.4,b1,Word level lower than target CEFR
позволю,разрешу,0,2,E2,E3,e&a,0,2,VERB,VERB,позволить,разрешить,"Я признаю, как ты знаешь, ревность чувством оскорбительным и унизительным и никогда не позволю себе руководиться этим чувством; но есть известные законы приличия, которые нельзя преступать безнаказанно. ","Алексей Александрович помолчал и потёр рукой лоб и глаза. — Я вот что хочу сказать, — продолжал он холодно и спокой но. — Я признаю ревность чувством унизительным и никог да не разрешу себе руководиться этим чувством; но есть известные законы приличия, которые нельзя нарушить безнаказанно. ",,,159.6,66.4,b1,No word level
Очевидно,понятно,2,2,E2,E3,e,1,2,ADV,ADJ,очевидно,понятный,"Очевидно, любовник Бежецкой. ","Теперь понятно, что между ним и Бежецкой есть что - то общее. ",c1,b2,88.2,71.6,b1,Word level higher than target CEFR
дерзновенно,мужественно,2,2,E15,E16,a,1,2,ADJ,ADJ,дерзновенный,мужественно,"Русский народ не дерзает даже думать, что святым можно подражать, что святость есть внутренний путь духа, – это было бы слишком мужественно - дерзновенно. ","Русский народ не пытается даже думать, что святым можно подражать, что святость есть внутренний путь духа, — это было бы слишком мужественно. ",,b2,0.9,5.3,b1_c1,Word level in target CEFR range
покоилась,лежала,2,1,E15,E16,a,0,2,VERB,VERB,покоиться,лежать,Повесть красавца Камышева покоилась в моем столе два месяца. ,Два месяца повесть лежала в столе. ,,a1,7.5,318.1,b1,Word level lower than target CEFR
робость,смущение,2,2,E15,E16,a,1,2,NOUN,NOUN,робость,смущение,"Он был несомненно добрый малый, и Левину жалко стало его и совестно за себя, хозяина дома, когда он подметил робость во взгляде Васеньки. ","Он был добрый человек, и Левину жалко стало его и стыдно за себя, хозяина дома, когда он заметил смущение во взгляде Васеньки",,,4.6,9.6,b1,No word level
переносливое,терпеливое,2,1,E15,E16,a,0,2,ADJ,ADJ,переносливый,терпеливый,"Я стал о них расспрашивать, потому что прежде их не видывал, и тотчас же сам убедился, что это преполезнейшее животное, рабочее, сильное, терпеливое, дешевое, переносливое; и чрез этого осла мне вдруг вся Швейцария стала нравиться, так что совершенно прошла прежняя грусть","Я стал о них расспрашивать и тотчас же сам убедился, что это очень полезное животное, сильное, терпеливое; и мне вдруг вся Швейцария стала нравиться, так что совсем прошла прежняя грусть",,b2,,7,b1,Word level higher than target CEFR
совершенно,очень,2,2,E15,E16,a,1,2,ADV,ADV,совершенно,очень,"Граф был совершенно пьян, я же только слегка","Граф был очень пьян, а Сергей — слегка. ",b2,a1,280.3,1286.8,b1,Word level lower than target CEFR
починили,отремонтировали,2,2,E15,E16,a,1,2,VERB,VERB,починить,отремонтировать,"Крышу починили, кухарку нашли — Старостину куму, кур купили, коровы стали давать молока, сад загородили жердями, каток сделал плотник, к шкапам приделали крючки, и они стали отворяться не произвольно, и гладильная доска, обернутая солдатским сукном, легла с ручки кресла на комод, и в девичьей запахло утюгом","Крышу отремонтировали, кур купили, молока стало много, появилась и гладильная доска. ",,b2,6.6,7.5,b1,Word level higher than target CEFR
губительна,опасна,2,1,E15,E16,a,0,2,ADJ,ADJ,губительный,опасный,"И в войне, которая для России бесполезна и даже губительна, участвовать не желаю","И в войне, которая опасна для России, участвовать не хочу, — спокойно отвечал Эраст Петро — О войне не вы решаете. ",c1,b1,4.1,95.7,b1,Word level equal to target CEFR
мамашиной,матери,1,2,E15,E16,a,0,2,NOUN,NOUN,мамашин,мать,"Аглая отвернула свое счастливое и заплаканное личико от мамашиной груди, взглянула на папашу, громко рассмеялась, прыгнула к нему, крепко обняла его и несколько раз поцеловала. ","Аглая отвернула своё счастливое и заплаканное лицо от матери, взглянула на отца, громко рассмеялась, прыг - нула к нему, крепко обняла его и несколько раз поцеловала. ",,a1,,330.1,b1,Word level lower than target CEFR
сюртуке,пальто,2,1,E15,E16,a,0,2,NOUN,NOUN,сюртука,пальто,"Изредка тянулся Ванька на тощей кляче своей, высматривая запоздалого седока. – Германн стоял в одном сюртуке, не чувствуя ни ветра, ни снега. ","Германн стоял без пальто, не чувствуя ни ветра, ни снега. ",,a1,,48.6,b1,Word level lower than target CEFR
чорт,чёрт,2,2,E15,E16,a,1,2,NOUN,NOUN,чорт,перт," - действительно удивился, наконец, Рогожин; - тьфу чорт, да ведь он и впрямь знает","— действительно удивился, наконец, Рогожин. — Тьфу, чёрт, да ведь он и правда знает",,,1.1,,b1,No word level
Вздумал,Решил,2,1,E15,E16,a,0,2,VERB,VERB,вздумать,решить,Вздумал он с нами в горелки бегать,Решил с нами наперегонки бегать,,,9.3,409.7,a2,No word level
зарыдал,плакать,2,2,E15,E16,a,1,2,VERB,VERB,зарыдать,плакать,"И жаль было своего чувства, этой своей любви, так жаль, что, кажется, взял бы и зарыдал или изо всей силы хватил бы зонтиком по широкой спине Пантелеймона.","И жаль было своего чувства, этой своей любви, так жаль, что хотелось плакать.",,a2,4.2,103.9,b1,Word level lower than target CEFR
али,или,0,2,E15,E16,a,0,2,NOUN,CCONJ,аля,или,"Придешь, али нет?",Придёшь или нет?,,a1,,2345,b1,Word level lower than target CEFR
неловко,смущённо,2,2,E15,E16,a,1,2,ADV,ADV,неловкий,смущённо,"Она сейчас придет, – неловко, не умея говорить неправду, говорила Долли. – Да вот и она.","Она кормит, и у неё не получается это дело. Она сейчас придёт, — смущённо говорила Долли. — Да вот и она. ",c1,,8.6,,b1,No word level
приятель,знакомый,2,2,E15,E16,a,1,2,NOUN,NOUN,приятель,знакомый,"— Бог милостив, обошлось, — легкомысленно ответил гусар. — Мне сказали, здесь бывает мой давний приятель Эразм Фандорин. ","— легко ответил Зуров и тут же спросил: — Мне сказали, что здесь бывает мой старый добрый знакомый Фандорин. ",b2,a2,53.9,133.4,b1,Word level lower than target CEFR
карета,экипаж,1,2,E15,E16,a,0,2,NOUN,NOUN,карета,экипаж,"Глава десятая, в которой фигурирует синий портфель 28 июня по западному стилю, а по - русскому 16 - го, ближе к вечеру, перед гостиницей «Уинтер квин» что на Грей - стрит, остановилась наемная карета. ",Вечером этого дня перед небогатой гостиницей «Уинтер квин» на Грей - стрит остановился экипаж. ,c1,c1,9.4,34.8,b1,Word level higher than target CEFR
неожиданно,вдруг,2,2,E15,E16,a,1,2,ADV,ADV,неожиданно,вдруг,"Знаете, мадемуазель Барбара, — тут голос Анвара неожиданно дрогнул, — я очень люблю мою несчастную Турцию. ","Знаете, мадемуазель, — тут голос Анвара стал вдруг мягким, — я очень люблю мою несчастную Турцию. ",b1,a1,106.1,503.2,b1,Word level lower than target CEFR
приятельница,знакомая,2,1,E15,E16,a,0,2,NOUN,NOUN,приятельница,знакомая,"После графини Лидии Ивановны приехала приятельница, жена директора, и рассказала все городские новости. ",После графини Лидии Ивановны приезжала ещё одна знакомая и рассказала все городские новости. ,b2,,6.5,10.2,b1,No word level
нынешняя,сегодняшняя,2,1,E15,E16,a,0,2,ADJ,ADJ,нынешний,сегодняшний,"Она не понимала и того, что эта нынешняя особенная словоохотливость Алексея Александровича, так раздражавшая ее, была только выражением его внутренней тревоги и беспокойства. ","Она не понимала того, что эта сегодняшняя разговорчивость Алексея Александровича, так неприятная ей, была только выражением его внутренней тревоги и беспокойства. ",b2,b2,132.3,82.3,b1,Word level higher than target CEFR
противоестественной,странной,2,1,E15,E16,a,0,2,ADJ,ADJ,противоестественный,странный,"Однако, согласно поступившей летом 1876 г. агентурной информации, имел странные пристрастия и якобы даже состоял в противоестественной связи с известным тифлисским педерастом князем Виссарионом Шаликовым, по прозвищу Шалун Бесо. ",Летом 1876 года агенты сообщили ему о странной связи Казанзаки с грузинским князем Виссарионом Шаликовым. ,,b1,4.1,159.5,b1,Word level equal to target CEFR
узенькая,узкая,2,1,E15,E16,a,0,2,ADJ,ADJ,узенький,узкий,"В спальне за ширмами увидите две маленькие двери: справа в кабинет, куда графиня никогда не входит; слева в коридор, и тут же узенькая витая лестница: она ведёт в мою комнату».","В спальне увидите две маленькие двери: справа в кабинет, куда графиня никогда не входит; слева в коридор, и тут же маленькая узкая лестница: она ведёт в мою комнату».",,a2,5.8,88.3,b1,Word level lower than target CEFR
занемог,заболел,2,2,E15,E16,a,1,2,VERB,VERB,занемочать,заболеть,Бедняк занемог сильной горячкою; его свезли в С***и на его место определили на время другого. ,Бедняк заболел; его отвезли в С***. ,,,,33.8,a2,No word level
известить,сказать,2,1,E15,E16,a,0,2,VERB,VERB,известить,сказать,"Он приезжал известить меня о болезни Надежды Николаевны и о том, что она. окончательно отказала ему в своей руке. ","Он приехал, чтобы сказать Сергею о болезни Надежды Николаевны и ещё о том, что она отказала ему, то есть не хочет выходить за него замуж. ",,a1,5.3,2396.6,b1,Word level lower than target CEFR
особливое,отдельное,2,2,E15,E16,a,1,2,ADJ,ADJ,особливый,отдельный,"А так как оба сословия обратились наконец в совершенные касты, в нечто совершенно от нации особливое, и чем дальше, тем больше, от поколения к поколению, то, стало быть, и все то, что они делали и делают, было совершенно не национальное. - Как? ","А так как оба сословия превратились наконец в нечто совершенно от нации отдельное, то и всё то, что они делали и делают, было совершенно не национальное",,c1,,177.5,b1,Word level higher than target CEFR
почтенная,уважаемый,2,2,E15,E16,a,1,2,ADJ,VERB,почтенный,уважаемый,"Она, конечно, весьма почтенная и уважаемая особа, но. ","Она, конечно, человек уважаемый. ",,a2,8.4,38.1,b1,Word level lower than target CEFR
неизменно,всегда,2,1,E15,E16,a,0,2,ADV,ADV,неизменно,всегда,"Почти каждый вечер попозже они уезжали куда - нибудь за город, в Ореанду или на водопад; и прогулка удавалась, впечатления неизменно всякий раз были прекрасны, величавы.","Почти каждый вечер попозже они уезжали куда - нибудь за город, и прогулка удавалась, впечатления всегда были прекрасны. ",,a1,17.6,611.9,b1,Word level lower than target CEFR
низменное,низкое,1,2,E15,E16,a,0,2,ADJ,ADJ,низменный,низкий,"Но Левин был влюблен, и поэтому ему казалось, что Кити была такое совершенство во всех отношениях, такое существо превыше всего земного, а он такое земное низменное существо, что не могло быть и мысли о том, чтобы другие и она сама признали его достойным ее.","Но Левин был влюблён, и поэтому ему казалось, что Кити была такое высокое существо во всех отношениях, а он такое низкое, что не могло быть и мысли о том. ",c1,a2,3.6,160.7,b1,Word level lower than target CEFR
успение,смерть,2,2,E15,E16,a,1,2,NOUN,NOUN,успение,смерть,"В простых и трогательных выражениях представил он мирное успение праведницы, которой долгие годы были тихим, умилительным проготовлением к христианской кончине. ","В простых выражениях представил он мирную, тихую смерть покойной. ",,a1,2.1,284.1,b1,Word level lower than target CEFR
развратной,безнравственную,2,2,E15,E16,a,1,2,ADJ,ADJ,развратный,безнравственный,"— Извольте, скрывать не нахожу нужным: вчера я был так убит и придавлен своим горем, что думал наложить на себя руки или. сойти с ума. но сегодня ночью я раздумался. мне пришла мысль, что смерть избавила Олю от развратной жизни, вырвала ее из грязных рук того шелопая, моего губителя; к смерти я не ревную: пусть Ольга лучше ей достается, чем графу; эта мысль повеселила меня и подкрепила; теперь уже в моей душе нет такой тяжести","Я хотел убить себя или. или сойти с ума. но сегодня ночью я много думал. мне пришла в голову мысль, что смерть остановила безнравственную жизнь Оли. Вырвала её из грязных рук. Смерть лучше, чем грязная жизнь с графом! ",,b2,2.1,3.7,b1,Word level higher than target CEFR
лакеев,слуг,2,1,E15,E16,a,0,2,NOUN,NOUN,лакей,слуга,"Казалось, из двух десятков закусок можно было выбрать, что было по вкусу, но Степан Аркадьич потребовал какую - то особенную, и один из стоявших ливрейных лакеев тотчас принес требуемое. ","Казалось, из двух десятков закусок можно было выбрать, что было по вкусу, но Степан Аркадьич потребовал что - то особенное, и один из слуг тотчас всё принёс. ",c1,c1,5.3,17.8,b1,Word level higher than target CEFR
прелестной,прекрасной,2,2,E15,E16,a,1,2,ADJ,ADJ,прелестный,прекрасный,"И он старался вспомнить ее такою, какою она была тогда, когда он в первый раз встретил ее тоже на станции, таинственною, прелестной, любящею, ищущею и дающею счастье, а не жестоко - мстительною, какою она вспоминалась ему в последнюю минуту. ","И он старался вспомнить её такой, какой она была тогда, когда он в первый раз встретил её тоже на станции, таинственной, прекрасной, ищущей и дающей счастье, а не мстительной, какою она вспоминалась ему в последнюю минуту. ",c1,a2,12.7,148.4,b1,Word level lower than target CEFR
пятак,монету,2,1,E15,E16,a,0,2,NOUN,NOUN,пятак,монета,"А там барыня пошла в село и призвала попа, дала ему денег и поехала, а мне дала пятак серебром — славная барыня!","А потом она пошла в деревню и позвала священника, дала ему денег и поехала, а мне дала монету — хорошая барыня!",c1,b1,3.9,17.5,a2,Word level higher than target CEFR
везир,визирь,2,0,E15,E16,a,0,2,NOUN,NOUN,везир,визирь,"Главные лица в Османской империи не султан и великий везир, а мать и любимая жена падишаха. ","Главное лицо на Востоке не султан и не визирь, а мать и любимая жена султана",,,,1.4,b1,No word level
нумер,номер,2,1,E15,E16,a,0,2,NOUN,NOUN,нумер,номер,"Невольно перебирая в своем воспоминании впечатление разговоров, веденных во время и после обеда, Алексей Александрович возвращался в свой одинокий нумер. ",Алексей Алек сандрович возвращался в свой одинокий номер,,a1,0.8,201.2,b1,Word level lower than target CEFR
